順位,原形（辞書形）,文章中表記,品詞,出現回数
1,なさる,なさい,動詞,1422
2,できる,でき,動詞,395
3,もらう,もらう,動詞,161
4,かける,かけ,動詞,72
5,ところ,ところ,名詞,70
6,しまう,しまう,動詞,52
7,わかる,わから,動詞,51
8,つける,つけ,動詞,50
9,からだ,からだ,名詞,44
10,くださる,ください,動詞,43
11,おむつ,おむつ,名詞,39
12,ほしい,ほしい,形容詞,39
13,づける,づけ,動詞,34
14,たまふ,たまひ,動詞,32
15,かかる,かかる,動詞,29
16,うまい,うまく,形容詞,28
17,はいせつ,はいせつ,名詞,27
18,ひだり,ひだり,名詞,24
19,あたる,あたっ,動詞,21
21,こころ,こころ,名詞,19
22,こうくう,こうくう,名詞,19
23,めまい,めまい,名詞,18
24,くれる,くれる,動詞,17
25,ゆっくり,ゆっくり,副詞,16
27,まとめる,まとめ,動詞,15
30,ぎょう,ぎょう,名詞,15
32,むせる,むせ,動詞,14
33,きゅう,きゅう,副詞,14
34,どおり,どおり,名詞,13
35,やめる,やめ,動詞,13
36,すべて,すべて,名詞,13
37,つくる,つくる,動詞,13
39,いがい,いがい,名詞,13
40,しくむ,しくみ,動詞,12
42,なくす,なくす,動詞,12
43,おうと,おうと,名詞,12
44,つらい,つら,形容詞,11
45,つかる,つかる,動詞,11
46,もらえる,もらえ,動詞,11
47,なくなる,なくなり,動詞,11
48,しょう,しょう,名詞,11
49,とれる,とれる,動詞,10
50,てんかん,てんかん,名詞,10
51,けいぶ,けいぶ,名詞,10
52,きのう,きのう,名詞,10
53,つながる,つながる,動詞,9
54,しょうがい,しょうがい,名詞,9
55,ちょう,ちょう,名詞,9
56,しくみ,しくみ,名詞,9
57,なかなか,なかなか,副詞,8
59,ふらつき,ふらつき,名詞,8
60,じょくそう,じょくそう,名詞,8
61,ぶつける,ぶつける,動詞,7
62,いける,いけ,動詞,7
63,あげる,あげ,動詞,7
64,なじみ,なじみ,名詞,7
65,とらえる,とらえる,動詞,7
66,そしゃく,そしゃく,名詞,7
67,つれる,つれ,動詞,6
69,つかまる,つかまれ,動詞,6
70,のせる,のせ,動詞,6
71,すくむ,すくん,動詞,6
