順位,原形（辞書形）,文章中表記,品詞,出現回数
1,職,職,名詞,552
2,問,問,名詞,500
3,妻,妻,名詞,111
4,杖,杖,名詞,74
5,夫,夫,名詞,64
6,期,期,名詞,60
7,注,注,名詞,52
8,法,法,名詞,51
9,部,部,名詞,51
10,週,週,名詞,43
11,具,具,名詞,41
12,娘,娘,名詞,41
13,筋,筋,名詞,40
14,量,量,名詞,40
15,頃,頃,名詞,40
16,脳,脳,名詞,38
17,気,気,名詞,33
18,間,間,名詞,33
19,床,床,名詞,33
20,例,例,名詞,32
21,事,事,名詞,32
22,爪,爪,名詞,30
23,尿,尿,名詞,29
24,膝,膝,名詞,29
25,湯,湯,名詞,28
26,者,者,名詞,27
27,出る,出,動詞,27
28,式,式,名詞,25
30,月,月,名詞,23
31,得る,得,動詞,22
32,場,場,名詞,21
33,死,死,名詞,20
34,点,点,名詞,20
35,便,便,名詞,20
36,茶,茶,名詞,19
37,図,図,名詞,19
38,別,別,名詞,18
39,腹,腹,名詞,17
40,指,指,名詞,16
43,水,水,名詞,15
44,号,号,名詞,14
45,名,名,名詞,14
46,音,音,名詞,14
47,壁,壁,名詞,14
48,力,力,名詞,14
49,割,割,名詞,13
50,枕,枕,名詞,13
51,肩,肩,名詞,13
52,市,市,名詞,13
53,感,感,名詞,12
55,数,数,名詞,12
56,端,端,名詞,12
57,腕,腕,名詞,12
58,順,順,名詞,12
59,急,急,名詞,12
60,対,対,名詞,11
61,率,率,名詞,11
62,共,共,名詞,11
63,胃,胃,名詞,10
65,肉,肉,名詞,10
66,腸,腸,名詞,10
67,宅,宅,名詞,10
69,子,子,名詞,9
72,身,身,名詞,9
73,仲,仲,名詞,8
74,白,白,名詞,8
75,食,食,名詞,8
76,字,字,名詞,8
77,会,会,名詞,8
79,歩,歩,名詞,8
81,心,心,名詞,7
84,表,表,名詞,7
86,胸,胸,名詞,7
87,首,首,名詞,7
88,県,県,名詞,7
89,圧,圧,名詞,7
90,楽,楽,名詞,6
93,質,質,名詞,6
96,面,面,名詞,6
97,腰,腰,名詞,6
100,板,板,名詞,6
101,液,液,名詞,6
102,説,説,名詞,5
103,文,文,名詞,5
105,版,版,名詞,5
106,常,常,名詞,5
107,腎,腎,名詞,4
108,弱,弱,名詞,4
109,節,節,名詞,4
110,念,念,名詞,4
111,息,息,名詞,4
112,基,基,名詞,4
116,代,代,名詞,4
117,夢,夢,名詞,4
120,親,親,名詞,4
121,縁,縁,名詞,4
122,業,業,名詞,3
123,盤,盤,名詞,3
125,管,管,名詞,3
126,逆,逆,名詞,3
127,似る,似,動詞,3
128,良,良,名詞,3
129,敏,敏,名詞,3
130,秒,秒,名詞,3
131,眠い,眠,形容詞,3
133,医,医,名詞,3
134,毛,毛,名詞,3
135,像,像,名詞,3
136,条,条,名詞,3
137,皿,皿,名詞,3
138,杯,杯,名詞,3
139,案,案,名詞,3
141,脚,脚,名詞,3
142,綿,綿,名詞,3
143,層,層,名詞,3
144,性,性,名詞,3
145,猫,猫,名詞,3
146,差,差,名詞,2
147,福,福,名詞,2
148,祉,祉,名詞,2
149,肥,肥,名詞,2
150,厚,厚,名詞,2
151,黄,黄,名詞,2
152,染,染,名詞,2
153,濁,濁,名詞,2
155,元,元,名詞,2
156,肌,肌,名詞,2
157,多い,多,形容詞,2
159,愛,愛,名詞,2
160,腺,腺,名詞,2
161,眠,眠,名詞,2
164,姑,姑,名詞,2
165,因,因,名詞,2
166,局,局,名詞,2
167,豆,豆,名詞,2
168,髪,髪,名詞,2
169,印,印,名詞,2
170,項,項,名詞,2
171,苦,苦,名詞,2
172,機,機,名詞,2
173,葉,葉,名詞,2
174,布,布,名詞,2
175,主,主,名詞,2
176,席,席,名詞,2
182,犬,犬,名詞,2
183,冬,冬,名詞,2
184,光,光,名詞,2
185,膠,膠,名詞,2
186,粥,粥,名詞,2
187,形,形,名詞,1
189,唱,唱,名詞,1
191,診る,診,動詞,1
194,種,種,名詞,1
195,論,論,名詞,1
196,役,役,名詞,1
199,見,見,名詞,1
200,生,生,名詞,1
202,味,味,名詞,1
203,赤,赤,名詞,1
204,寡,寡,名詞,1
206,乏い,乏,形容詞,1
207,球,球,名詞,1
208,伝,伝,名詞,1
209,怖い,怖,形容詞,1
210,倍,倍,名詞,1
212,吊,吊,名詞,1
213,残,残,名詞,1
214,同,同,名詞,1
215,平,平,名詞,1
219,暗,暗,名詞,1
222,払,払,名詞,1
223,丸,丸,名詞,1
224,膣,膣,名詞,1
226,経る,経,動詞,1
227,苛,苛,名詞,1
228,軽,軽,名詞,1
229,扶,扶,名詞,1
230,実,実,名詞,1
231,腿,腿,名詞,1
232,膳,膳,名詞,1
234,引,引,名詞,1
235,掻,掻,名詞,1
