単語名,出現回数
問題,1424
活動,93
麻痺,86
理解,84
総合,79
情報,78
医療,65
介助,55
医師,53
平成,45
呼吸,38
年度,38
在宅,33
左側,33
令和,25
看護,25
便秘,24
右側,23
妄想,22
衣服,22
高齢,21
気管,20
失行,19
腹部,18
骨折,18
有料,17
発作,17
頸髄,17
住宅,16
結腸,16
長女,16
便器,15
嘔吐,15
浴室,15
血管,15
上肢,14
体型,14
便座,14
咽頭,14
脊髄,14
幻視,13
肺炎,13
頸部,13
食材,13
排尿,12
着衣,12
財布,12
頭部,12
側索,11
副菜,11
廊下,11
徘徊,11
鼻腔,11
万人,10
大腿,10
小脳,10
繊維,10
自室,10
酸素,10
食道,10
坐薬,9
背中,9
伷塞,8
側頭,8
先端,8
喉頭,8
徐々,8
手指,8
手話,8
暴力,8
直腸,8
筋肉,8
透析,8
前頭,7
塩分,7
愛着,7
滅菌,7
背部,7
腰髄,7
膀胱,7
下剤,6
両足,6
中等,6
主菜,6
人格,6
児童,6
分間,6
後期,6
心臓,6
恥骨,6
手袋,6
次亜,6
浣腸,6
経鼻,6
網膜,6
耳垢,6
職場,6
腰痛,6
臀部,6
表面,6
装置,6
足浴,6
過去,6
交感,5
仙骨,5
余命,5
個室,5
傾聴,5
元年,5
前傾,5
半身,5
右膝,5
合唱,5
固縮,5
失認,5
季節,5
宿泊,5
幻覚,5
廃棄,5
後日,5
患者,5
招集,5
日頃,5
更生,5
梗塞,5
構音,5
死亡,5
母子,5
洋式,5
液温,5
湯温,5
点字,5
物品,5
現場,5
球菌,5
生命,5
病棟,5
発汗,5
白癬,5
監視,5
終日,5
義肢,5
翌日,5
親指,5
音域,5
頭痛,5
上顎,4
下顎,4
不在,4
事務,4
人工,4
休息,4
休職,4
住居,4
体内,4
保菌,4
入会,4
共助,4
共通,4
冷房,4
冷水,4
分野,4
前腕,4
前輪,4
半側,4
受講,4
口数,4
口渇,4
口臭,4
同僚,4
周期,4
商品,4
壁紙,4
多動,4
夜食,4
大脳,4
失語,4
安眠,4
定着,4
寝具,4
少量,4
尿路,4
尿道,4
巡回,4
帯状,4
常同,4
床材,4
強直,4
得意,4
技能,4
挙上,4
散乱,4
横行,4
死期,4
水平,4
油絵,4
消費,4
湿度,4
無視,4
熟睡,4
爆発,4
物質,4
特殊,4
発信,4
白濁,4
眠気,4
瞳孔,4
硬膜,4
筆記,4
簡易,4
耐性,4
耳介,4
耳元,4
肛門,4
育成,4
脊柱,4
腋窩,4
腰部,4
血腫,4
表皮,4
足底,4
転居,4
送迎,4
通学,4
道具,4
随時,4
骨盤,4
三角,3
上体,3
上腕,3
上限,3
不良,3
世代,3
両膝,3
中核,3
中耳,3
中退,3
主食,3
事由,3
人材,3
仕方,3
他害,3
代金,3
企業,3
伸展,3
保温,3
優生,3
入手,3
全盲,3
全額,3
円熟,3
出席,3
分岐,3
切断,3
初日,3
別居,3
動脈,3
反映,3
口元,3
右肘,3
同調,3
喘息,3
回腸,3
固形,3
基底,3
塩素,3
境目,3
多点,3
大半,3
嫉妬,3
完成,3
寝台,3
対処,3
導尿,3
小腸,3
尺度,3
尿量,3
屈曲,3
市販,3
常温,3
座面,3
廃用,3
当面,3
後屈,3
復権,3
心筋,3
性的,3
感想,3
所持,3
投影,3
教員,3
教育,3
整容,3
文化,3
日付,3
日間,3
早期,3
昇降,3
昨年,3
暴言,3
最後,3
東京,3
格子,3
機械,3
欠陥,3
正面,3
死因,3
毎食,3
毛布,3
氏名,3
民間,3
気味,3
水圧,3
水疱,3
汗腺,3
泥棒,3
洗剤,3
洗身,3
流水,3
浮力,3
海馬,3
消化,3
液状,3
清浄,3
滴下,3
演奏,3
熱心,3
片側,3
狭窄,3
生存,3
疥癬,3
疱疹,3
発赤,3
目印,3
眼球,3
硝子,3
私物,3
秘密,3
空腹,3
競技,3
素材,3
結核,3
翌朝,3
習慣,3
肢体,3
肥大,3
胃内,3
自動,3
色素,3
茶道,3
菓子,3
血糖,3
行事,3
衣装,3
裁縫,3
視床,3
覚知,3
記号,3
講座,3
貧血,3
販売,3
足指,3
距離,3
身長,3
軟膏,3
軽費,3
退行,3
通院,3
都合,3
重積,3
間代,3
隣室,3
難病,3
面談,3
頭頂,3
顔色,3
顔面,3
食卓,3
高温,3
一員,2
上位,2
上田,2
上衣,2
下腿,2
下記,2
不備,2
不当,2
不振,2
不穏,2
丘疹,2
両端,2
両者,2
両耳,2
両腕,2
中度,2
中継,2
中脳,2
主導,2
乗車,2
予備,2
予算,2
事件,2
交代,2
人員,2
今度,2

仮性,2
仮面,2
休憩,2
休暇,2
伴奏,2
体外,2
体性,2
体育,2
係数,2
俳句,2
個々,2
停止,2
充血,2
光源,2
全量,2
公表,2
六法,2
共用,2
具合,2
冊子,2
再生,2
冷凍,2
処置,2
前期,2
創造,2
効率,2
化粧,2
半盲,2
単純,2
厚手,2
参照,2
反動,2
収穫,2
受付,2
口癖,2
右肩,2
合併,2
合格,2
同一,2
同席,2
同系,2
名誉,2
咳嗽,2
喃語,2
喘鳴,2
地震,2
坂道,2
垂直,2
基盤,2
変容,2
外界,2
外耳,2
外部,2
夜盲,2
大量,2
天井,2
好発,2
娯楽,2
嫌悪,2
安否,2
完治,2
定時,2
実家,2
対話,2
専用,2
小学,2
尿臭,2
履物,2
左肩,2
左膝,2
師範,2
年々,2
幸福,2
幻聴,2
床面,2
底面,2
延髄,2
弁当,2
後輩,2
後輪,2
循環,2
徹底,2
心気,2
快適,2
念慮,2
思考,2
恐怖,2
悪口,2
情動,2
想像,2
感音,2
憤慨,2
成分,2
所有,2
所長,2
扁桃,2
手掌,2
抑揚,2
抽出,2
担任,2
拡充,2
指間,2
挑戦,2
捻挫,2
採用,2
握力,2
撮影,2
支出,2
教諭,2
散大,2
日陰,2
昇華,2
明暗,2
明示,2
時刻,2
最善,2
最大,2
最終,2
最高,2
来客,2
柄物,2
概況,2
様々,2
模様,2
欠乏,2
次々,2
次回,2
次女,2
歯肉,2
歳時,2
死斑,2
死滅,2
気軽,2
気道,2
水様,2
泥状,2
注目,2
洗面,2
洗顔,2
活躍,2
流動,2
浸漬,2
浸透,2
消火,2
深夜,2
混合,2
混濁,2
清明,2
温熱,2
湿気,2
溶液,2
漂白,2
潰瘍,2
濃縮,2
無効,2
無料,2
無断,2
無理,2
無職,2
無言,2
焦点,2
煮物,2
父子,2
父母,2
片手,2
献立,2
生殖,2
生涯,2
病変,2
病期,2
病的,2
発散,2
発熱,2
白書,2
白湯,2
皮脂,2
眼鏡,2
着物,2
矢印,2
知事,2
知的,2
短縮,2
破棄,2
破産,2
確立,2
祖母,2
突然,2
立脚,2
粘膜,2
糖質,2
紅茶,2
納得,2
素手,2
細菌,2
結晶,2
結膜,2
緊急,2
総局,2
総額,2
緑茶,2
線維,2
缶詰,2
老齢,2
肝臓,2
肯定,2
胸部,2
胸骨,2
胸髄,2
脂質,2
脚立,2
脱衣,2
脳死,2
腎臓,2
腸炎,2
膨満,2
臨床,2
舌下,2
舌骨,2
良質,2
芸術,2
薄弱,2
血流,2
装甲,2
製作,2
親戚,2
角化,2
角膜,2
解凍,2
訂正,2
訪室,2
詩吟,2
誘発,2
語彙,2
誤認,2
講師,2
資質,2
資金,2
賞賛,2
起伏,2
踏切,2
身近,2
身頃,2
軟便,2
転職,2
転院,2
軽微,2
農業,2
近年,2
返事,2
追及,2
通路,2
過剰,2
道路,2
遵守,2
配布,2
配食,2
酵素,2
酸味,2
重力,2
重点,2
野球,2
鑑別,2
鑑賞,2
長所,2
閉店,2
閉鎖,2
開封,2
開放,2
障壁,2
隣町,2
集約,2
雑巾,2
離床,2
静脈,2
面倒,2
面接,2
靴底,2
順序,2
順応,2
頚椎,2
頭皮,2
頻尿,2
願望,2
食前,2
食塊,2
食費,2
飲水,2
騒音,2
骨格,2
髄節,2
高度,2
高額,2
麻雀,2
鼻道,2
一切,1
一声,1
一昨,1
一段,1
一環,1
一種,1
一覧,1
一雄,1
七草,1
三叉,1
上唇,1
上方,1
上端,1
上葉,1
下図,1
下葉,1
不利,1
不感,1
不慮,1
不通,1
世界,1
世紀,1
両側,1
両眼,1
両立,1
両脚,1
両輪,1
中央,1
中期,1
中温,1
中腰,1
中葉,1
主催,1
主語,1
乖離,1
乳突,1
乾布,1
了解,1
予告,1
予後,1
予想,1
事柄,1
五感,1
些細,1
交友,1
交差,1
人本,1
人的,1
付加,1
付近,1
仙髄,1
代表,1
会長,1
会陰,1
伝音,1
伱間,1
住所,1
体圧,1
体表,1
余分,1
余暇,1
余裕,1
作動,1
作図,1
作戦,1
使役,1
侵入,1
侵蝕,1
便性,1
便所,1
保佐,1
保湿,1
保育,1
信頼,1
修了,1
修復,1
修理,1
個体,1
個数,1
候補,1
借金,1
