順位,原形（辞書形）,文章中表記,品詞,出現回数
1,問題,問題,名詞,1424
2,適切,適切,形状詞,1070
3,記述,記述,名詞,551
4,支援,支援,名詞,511
5,障害,障害,名詞,335
6,利用,利用,名詞,302
7,訪問,訪問,名詞,264
8,対応,対応,名詞,211
9,施設,施設,名詞,210
10,機能,機能,名詞,205
11,入所,入所,名詞,193
12,相談,相談,名詞,168
13,使用,使用,名詞,154
14,地域,地域,名詞,137
15,必要,必要,名詞,135
16,状態,状態,名詞,117
17,自立,自立,名詞,113
18,低下,低下,名詞,109
19,訓練,訓練,名詞,108
20,確認,確認,名詞,107
21,症状,症状,名詞,102
22,説明,説明,名詞,97
23,活動,活動,名詞,93
24,麻痺,麻痺,名詞,86
25,理解,理解,名詞,84
26,最近,最近,名詞,83
27,内容,内容,名詞,83
28,吸引,吸引,名詞,82
29,不安,不安,名詞,79
30,総合,総合,名詞,79
31,診断,診断,名詞,79
32,情報,情報,名詞,78
33,目標,目標,名詞,77
34,参加,参加,名詞,77
35,作成,作成,名詞,76
36,事例,事例,名詞,74
37,様子,様子,名詞,72
38,通所,通所,名詞,72
39,提供,提供,名詞,72
40,移動,移動,名詞,70
41,事業,事業,名詞,70
42,場合,場合,名詞,70
43,職員,職員,名詞,69
44,現在,現在,名詞,68
45,居宅,居宅,名詞,68
46,実施,実施,名詞,66
47,排泄,排泄,名詞,65
48,医療,医療,名詞,65
49,虐待,虐待,名詞,64
50,状況,状況,名詞,63
51,希望,希望,名詞,62
52,予防,予防,名詞,60
53,方法,方法,名詞,58
54,判断,判断,名詞,57
55,助言,助言,名詞,56
56,介助,介助,名詞,55
57,目的,目的,名詞,54
58,共同,共同,名詞,54
59,居室,居室,名詞,54
60,医師,医師,名詞,53
61,原因,原因,名詞,52
62,優先,優先,名詞,50
63,疾患,疾患,名詞,50
64,負担,負担,名詞,48
65,姿勢,姿勢,名詞,48
66,摂取,摂取,名詞,48
67,自己,自己,名詞,46
68,過程,過程,名詞,46
69,該当,該当,名詞,46
70,平成,平成,名詞,45
71,法律,法律,名詞,45
72,援助,援助,名詞,45
73,担当,担当,名詞,44
74,環境,環境,名詞,44
75,評価,評価,名詞,44
76,報告,報告,名詞,44
77,治療,治療,名詞,43
78,給付,給付,名詞,43
79,検討,検討,名詞,43
80,移乗,移乗,名詞,43
81,活用,活用,名詞,42
82,困難,困難,名詞,42
83,変更,変更,名詞,42
84,義務,義務,名詞,41
85,会議,会議,名詞,41
86,口腔,口腔,名詞,40
87,発達,発達,名詞,40
88,表情,表情,名詞,39
89,関節,関節,名詞,39
90,注入,注入,名詞,39
91,年度,年度,名詞,38
92,呼吸,呼吸,名詞,38
93,変化,変化,名詞,38
94,下肢,下肢,名詞,38
95,制度,制度,名詞,37
96,設置,設置,名詞,37
97,課題,課題,名詞,37
98,進行,進行,名詞,37
99,結果,結果,名詞,37
100,入居,入居,名詞,37
101,実現,実現,名詞,36
102,包括,包括,名詞,36
103,意思,意思,名詞,36
104,経管,経管,名詞,36
105,調理,調理,名詞,36
106,注意,注意,名詞,35
107,設定,設定,名詞,35
108,提案,提案,名詞,35
109,依頼,依頼,名詞,35
110,浴槽,浴槽,名詞,35
111,発症,発症,名詞,34
112,区分,区分,名詞,34
113,理由,理由,名詞,34
114,認知,認知,名詞,34
115,職種,職種,名詞,34
116,受診,受診,名詞,33
117,趣味,趣味,名詞,33
118,回復,回復,名詞,33
119,左側,左側,名詞,33
120,在宅,在宅,名詞,33
121,技術,技術,名詞,32
122,役割,役割,名詞,32
123,管理,管理,名詞,32
124,継続,継続,名詞,32
125,連携,連携,名詞,32
126,重度,重度,名詞,31
127,準備,準備,名詞,30
128,嚥下,嚥下,名詞,30
129,改善,改善,名詞,30
130,損傷,損傷,名詞,29
131,影響,影響,名詞,29
132,特徴,特徴,名詞,29
133,能力,能力,名詞,29
134,老化,老化,名詞,29
135,指示,指示,名詞,29
136,同意,同意,名詞,29
137,可能,可能,形状詞,29
138,最初,最初,名詞,29
139,部位,部位,名詞,28
140,感情,感情,名詞,28
141,観察,観察,名詞,28
142,交換,交換,名詞,28
143,意見,意見,名詞,27
144,増加,増加,名詞,27
145,対象,対象,名詞,27
146,分類,分類,名詞,27
147,避難,避難,名詞,27
148,同居,同居,名詞,26
149,立位,立位,名詞,26
150,意識,意識,名詞,26
151,作業,作業,名詞,26
152,欲求,欲求,名詞,26
153,意向,意向,名詞,26
154,基本,基本,名詞,25
155,個人,個人,名詞,25
156,看護,看護,名詞,25
157,周囲,周囲,名詞,25
158,臥位,臥位,名詞,25
159,保護,保護,名詞,25
160,令和,令和,名詞,25
161,領域,領域,名詞,25
162,発言,発言,名詞,24
163,援護,援護,名詞,24
164,個別,個別,名詞,24
165,確保,確保,名詞,24
166,申請,申請,名詞,24
167,位置,位置,名詞,24
168,便秘,便秘,名詞,24
169,世帯,世帯,名詞,24
170,実践,実践,名詞,24
171,以前,以前,名詞,24
172,程度,程度,名詞,23
173,対策,対策,名詞,23
174,防止,防止,名詞,23
175,以外,以外,名詞,23
176,規定,規定,名詞,23
177,認定,認定,名詞,23
178,神経,神経,名詞,23
179,乾燥,乾燥,名詞,23
180,配慮,配慮,名詞,23
181,義歯,義歯,名詞,23
182,保持,保持,名詞,23
183,調整,調整,名詞,23
184,右側,右側,名詞,23
185,行為,行為,名詞,22
186,消毒,消毒,名詞,22
187,段階,段階,名詞,22
188,安定,安定,名詞,22
189,妄想,妄想,名詞,22
190,喀痰,喀痰,名詞,22
191,筋力,筋力,名詞,22
192,清拭,清拭,名詞,22
193,衣服,衣服,名詞,22
194,業務,業務,名詞,22
195,高齢,高齢,名詞,21
196,加齢,加齢,名詞,21
197,受容,受容,名詞,21
198,開始,開始,名詞,21
199,向上,向上,名詞,21
200,就労,就労,名詞,20
201,解決,解決,名詞,20
202,作用,作用,名詞,20
203,感覚,感覚,名詞,20
204,挿入,挿入,名詞,20
205,養護,養護,名詞,20
206,就寝,就寝,名詞,20
207,体操,体操,名詞,20
208,気管,気管,名詞,20
209,維持,維持,名詞,19
210,失行,失行,名詞,19
211,軽度,軽度,名詞,19
212,初期,初期,名詞,19
213,服用,服用,名詞,19
214,同行,同行,名詞,19
215,排便,排便,名詞,19
216,経過,経過,名詞,19
217,誘導,誘導,名詞,19
218,割合,割合,名詞,18
219,指定,指定,名詞,18
220,制限,制限,名詞,18
221,検査,検査,名詞,18
222,興奮,興奮,名詞,18
223,収集,収集,名詞,18
224,誤嚥,誤嚥,名詞,18
225,心身,心身,名詞,18
226,唾液,唾液,名詞,18
227,権利,権利,名詞,18
228,骨折,骨折,名詞,18
229,推進,推進,名詞,18
230,形成,形成,名詞,18
231,腹部,腹部,名詞,18
232,調査,調査,名詞,17
233,発作,発作,名詞,17
234,住民,住民,名詞,17
235,国際,国際,名詞,17
236,有料,有料,名詞,17
237,座位,座位,名詞,17
238,頸髄,頸髄,名詞,17
239,変性,変性,名詞,17
240,購入,購入,名詞,17
241,開催,開催,名詞,17
242,服薬,服薬,名詞,17
243,住宅,住宅,名詞,16
244,分泌,分泌,名詞,16
245,記載,記載,名詞,16
246,原則,原則,名詞,16
247,複数,複数,名詞,16
248,下痢,下痢,名詞,16
249,機会,機会,名詞,16
250,保管,保管,名詞,16
251,洗浄,洗浄,名詞,16
252,展開,展開,名詞,16
253,交流,交流,名詞,16
254,結腸,結腸,名詞,16
255,長女,長女,名詞,16
256,血管,血管,名詞,15
257,反応,反応,名詞,15
258,解消,解消,名詞,15
259,苦情,苦情,名詞,15
260,薬剤,薬剤,名詞,15
261,因子,因子,名詞,15
262,特性,特性,名詞,15
263,固定,固定,名詞,15
264,重視,重視,名詞,15
265,浴室,浴室,名詞,15
266,便器,便器,名詞,15
267,体験,体験,名詞,15
268,整備,整備,名詞,15
269,嘔吐,嘔吐,名詞,15
270,指導,指導,名詞,15
271,取得,取得,名詞,15
272,解釈,解釈,名詞,15
273,平均,平均,名詞,14
274,脊髄,脊髄,名詞,14
275,体制,体制,名詞,14
276,咽頭,咽頭,名詞,14
277,失禁,失禁,名詞,14
278,心理,心理,名詞,14
279,効果,効果,名詞,14
280,装着,装着,名詞,14
281,上肢,上肢,名詞,14
282,便座,便座,名詞,14
283,分析,分析,名詞,14
284,構造,構造,名詞,14
285,体型,体型,名詞,14
286,紹介,紹介,名詞,14
287,不要,不要,形状詞,14
288,死後,死後,名詞,14
289,整理,整理,名詞,14
290,自力,自力,名詞,13
291,関連,関連,名詞,13
292,判定,判定,名詞,13
293,療養,療養,名詞,13
294,困窮,困窮,名詞,13
295,促進,促進,名詞,13
296,感染,感染,名詞,13
297,経験,経験,名詞,13
298,日課,日課,名詞,13
299,認識,認識,名詞,13
300,夫婦,夫婦,名詞,13
301,方針,方針,名詞,13
302,食材,食材,名詞,13
303,視点,視点,名詞,13
304,肺炎,肺炎,名詞,13
305,頸部,頸部,名詞,13
306,主体,主体,名詞,13
307,把握,把握,名詞,13
308,集団,集団,名詞,13
309,幻視,幻視,名詞,13
310,復帰,復帰,名詞,13
311,共有,共有,名詞,13
312,段差,段差,名詞,13
313,軽減,軽減,名詞,13
314,導入,導入,名詞,13
315,硬化,硬化,名詞,12
316,運営,運営,名詞,12
317,上昇,上昇,名詞,12
318,測定,測定,名詞,12
319,自覚,自覚,名詞,12
320,性格,性格,名詞,12
321,処方,処方,名詞,12
322,難聴,難聴,名詞,12
323,頭部,頭部,名詞,12
324,創設,創設,名詞,12
325,限定,限定,名詞,12
326,保存,保存,名詞,12
327,口頭,口頭,名詞,12
328,換気,換気,名詞,12
329,着脱,着脱,名詞,12
330,排尿,排尿,名詞,12
331,移行,移行,名詞,12
332,視覚,視覚,名詞,12
333,着衣,着衣,名詞,12
334,以下,以下,名詞,12
335,財布,財布,名詞,12
336,失調,失調,名詞,12
337,意欲,意欲,名詞,12
338,尊厳,尊厳,名詞,11
339,廊下,廊下,名詞,11
340,配置,配置,名詞,11
341,理念,理念,名詞,11
342,萎縮,萎縮,名詞,11
343,側索,側索,名詞,11
344,選択,選択,名詞,11
345,直接,直接,副詞,11
346,策定,策定,名詞,11
347,鼻腔,鼻腔,名詞,11
348,雇用,雇用,名詞,11
349,有効,有効,形状詞,11
350,種類,種類,名詞,11
351,自助,自助,名詞,11
352,安静,安静,名詞,11
353,専念,専念,名詞,11
354,振戦,振戦,名詞,11
355,体幹,体幹,名詞,11
356,照明,照明,名詞,11
357,副菜,副菜,名詞,11
358,正常,正常,名詞,11
359,留意,留意,名詞,11
360,徘徊,徘徊,名詞,11
361,構成,構成,名詞,11
362,自信,自信,名詞,11
363,契約,契約,名詞,11
364,組織,組織,名詞,11
365,最期,最期,名詞,11
366,達成,達成,名詞,11
367,喪失,喪失,名詞,10
368,以降,以降,名詞,10
369,小脳,小脳,名詞,10
370,大腿,大腿,名詞,10
371,繊維,繊維,名詞,10
372,食道,食道,名詞,10
373,覚醒,覚醒,名詞,10
374,直前,直前,名詞,10
375,速度,速度,名詞,10
376,災害,災害,名詞,10
377,尊重,尊重,名詞,10
378,一部,一部,名詞,10
379,悲嘆,悲嘆,名詞,10
380,長期,長期,名詞,10
381,口調,口調,名詞,10
382,緊張,緊張,名詞,10
383,明確,明確,形状詞,10
384,窓口,窓口,名詞,10
385,酸素,酸素,名詞,10
386,提唱,提唱,名詞,10
387,上司,上司,名詞,10
388,要望,要望,名詞,10
389,共生,共生,名詞,10
390,精神,精神,名詞,10
391,統合,統合,名詞,10
392,成年,成年,名詞,10
393,通報,通報,名詞,10
394,遂行,遂行,名詞,10
395,自室,自室,名詞,10
396,圧迫,圧迫,名詞,10
397,万人,万人,名詞,10
398,資源,資源,名詞,10
399,収縮,収縮,名詞,10
400,内部,内部,名詞,10
401,良好,良好,形状詞,9
402,寿命,寿命,名詞,9
403,傾向,傾向,名詞,9
404,基準,基準,名詞,9
405,主任,主任,名詞,9
406,差別,差別,名詞,9
407,機関,機関,名詞,9
408,親族,親族,名詞,9
409,強化,強化,名詞,9
410,薬物,薬物,名詞,9
411,事前,事前,名詞,9
412,年齢,年齢,名詞,9
413,学習,学習,名詞,9
414,食欲,食欲,名詞,9
415,特定,特定,名詞,9
416,養成,養成,名詞,9
417,意図,意図,名詞,9
418,以内,以内,名詞,9
419,前方,前方,名詞,9
420,十分,十分,形状詞,9
421,指摘,指摘,名詞,9
422,順番,順番,名詞,9
423,味覚,味覚,名詞,9
424,血圧,血圧,名詞,9
425,世話,世話,名詞,9
426,腹圧,腹圧,名詞,9
427,反射,反射,名詞,9
428,清潔,清潔,名詞,9
429,褥瘡,褥瘡,名詞,9
430,異常,異常,名詞,9
431,未婚,未婚,名詞,9
432,出現,出現,名詞,9
433,細胞,細胞,名詞,9
434,高次,高次,名詞,9
435,集中,集中,名詞,9
436,造設,造設,名詞,9
437,除外,除外,名詞,9
438,拘縮,拘縮,名詞,9
439,全国,全国,名詞,9
440,関心,関心,名詞,9
441,終了,終了,名詞,9
442,除去,除去,名詞,9
443,背中,背中,名詞,9
444,近隣,近隣,名詞,9
445,順調,順調,形状詞,9
446,診察,診察,名詞,9
447,未満,未満,名詞,9
448,坐薬,坐薬,名詞,9
449,座薬,座薬,名詞,9
450,排出,排出,名詞,9
451,発語,発語,名詞,9
452,徐々,徐々,名詞,8
453,説得,説得,名詞,8
454,定義,定義,名詞,8
455,支給,支給,名詞,8
456,筋肉,筋肉,名詞,8
457,基礎,基礎,名詞,8
458,喉頭,喉頭,名詞,8
459,時期,時期,名詞,8
460,中途,中途,名詞,8
461,用語,用語,名詞,8
462,疎通,疎通,名詞,8
463,獲得,獲得,名詞,8
464,更新,更新,名詞,8
465,急速,急速,形状詞,8
466,療法,療法,名詞,8
467,処分,処分,名詞,8
468,密着,密着,名詞,8
469,着用,着用,名詞,8
470,伝達,伝達,名詞,8
471,先端,先端,名詞,8
472,残存,残存,名詞,8
473,蠕動,蠕動,名詞,8
474,配膳,配膳,名詞,8
475,拒否,拒否,名詞,8
476,手指,手指,名詞,8
477,悪化,悪化,名詞,8
478,国民,国民,名詞,8
479,許可,許可,名詞,8
480,聴覚,聴覚,名詞,8
481,手話,手話,名詞,8
482,側頭,側頭,名詞,8
483,慢性,慢性,名詞,8
484,混乱,混乱,名詞,8
485,期間,期間,名詞,8
486,直腸,直腸,名詞,8
487,透析,透析,名詞,8
488,立案,立案,名詞,8
489,言動,言動,名詞,8
490,暴力,暴力,名詞,8
491,改修,改修,名詞,8
492,応答,応答,名詞,8
