単語名,出現回数
神経,23
消毒,22
失調,12
硬化,12
視覚,12
難聴,12
体幹,11
振戦,11
萎縮,11
収縮,10
覚醒,10
反射,9
味覚,9
寿命,9
座薬,9
拘縮,9
細胞,9
腹圧,9
薬物,9
血圧,9
褥瘡,9
造設,9
高次,9
不眠,8
手話,8
経口,8
聴覚,8
蠕動,8
入眠,7
内服,7









咀嚼,7
炎症,7
生後,7
装具,7
逆流,7
重症,7
前屈,6
四肢,6
外傷,6
尿意,6
弛緩,6
患側,6
転落,6
重心,6
陰部,6
中枢,5
便意,5
健側,5
動悸,5
器官,5
変形,5
搬送,5
救急,5
末梢,5
義足,5
表出,5
軽快,5
飽和,5
嗅覚,4
嘔気,4










延命,4
強度,4
手術,4
抜去,4
持病,4
有病,4
注射,4
浮腫,4
硬直,4
聴力,4
臓器,4
自傷,4
補装,4
視力,4
視線,4
閉塞,4
免疫,3
亢進,3
塗布,3
性状,3
悪性,3
留置,3
疲労,3
病状,3
病識,3
発話,3
顔貌,3
仮眠,2
噴霧,2
投与,2
振動,2
汚染,2
濃度,2
老衰,2
補充,2
診療,2
貯留,2
