単語名,出現回数
国民,8
主任,9
保健,5
免許,5
条約,5
財源,5
資格,5
離婚,5
公的,4
共助,4
扶助,4
徴収,4
承認,4
改訂,4
改革,4
平等,4
法定,4
主張,4
団体,4
委託,4
常勤,4
受給,3
公助,3
憲法,3
提出,3
提言,3
成果,3
財産,3



貧困,3
責務,3
資料,3
資産,3
軽費,3
審査,3
選任,3
選定,3
限度,3
加入,3
報酬,3
在留,2
大綱,2
守秘,2
審判,2
就学,2
定年,2
家計,2
経営,2
職務,2
名義,2
所轄,2
請求,2
貸与,2
設立,2
登録,2
文書,2
書類,2




公共,2
包摂,2
指針,2
従事,2
扶養,2
周知,2
啓発,2
施行,2
撤廃,2
給与,1
賃金,1
産休,1
政策,1
民法,1
法令,1
法的,1
侵害,1
特権,1
特例,1
違法,1
規範,1
認可,1
認証,1
役所,1
届出,1
通知,1
批准,1
税制,1
納付,1
滞納,1
婚姻,1
続柄,1
血族,1
姻族,1
養子,1
代理,1
勧告,1
協議,1
偏見,1
