session,number,answer
32,1,3
32,2,5
32,3,2
32,4,1
32,5,5
32,6,3
32,7,3
32,8,4
32,9,2
32,10,5
32,11,1
32,12,5
32,13,4
32,14,2
32,15,1
32,16,4
32,17,1
32,18,4
32,19,5
32,20,1
32,21,5
32,22,4
32,23,2
32,24,5
32,25,3
32,26,2
32,27,1
32,28,4
32,29,2
32,30,3
32,31,4
32,32,3
32,33,5
32,34,1
32,35,5
32,36,3
32,37,5
32,38,2
32,39,1
32,40,4
32,41,1
32,42,2
32,43,4
32,44,3
32,45,2
32,46,1
32,47,4
32,48,4
32,49,3
32,50,2
32,51,2
32,52,4
32,53,1
32,54,4
32,55,2
32,56,1
32,57,5
32,58,3
32,59,1
32,60,5
32,61,4
32,62,1
32,63,2
32,64,2
32,65,5
32,66,3
32,67,3
32,68,1
32,69,2
32,70,2
32,71,4
32,72,3
32,73,3
32,74,1
32,75,1
32,76,5
32,77,4
32,78,5
32,79,1
32,80,2
32,81,3
32,82,4
32,83,3
32,84,2
32,85,4
32,86,5
32,87,1
32,88,3
32,89,4
32,90,5
32,91,2
32,92,2
32,93,3
32,94,4
32,95,3
32,96,5
32,97,4
32,98,1
32,99,3
32,100,5
32,101,3
32,102,1
32,103,4
32,104,5
32,105,1
32,106,2
32,107,3
32,108,4
32,109,1
32,110,2
32,111,4
32,112,5
32,113,3
32,114,1
32,115,4
32,116,3
32,117,5
32,118,2
32,119,1
32,120,2
32,121,5
32,122,4
32,123,5
32,124,2
32,125,3
