単語,出現回数,選定理由
機能性,6,低頻出・読解語・解説骨格語
共通,4,低頻出・読解語・解説骨格語
最優先,6,低頻出・読解語・解説骨格語
参加者,5,低頻出・読解語・解説骨格語
評価日,5,低頻出・読解語・解説骨格語
一定期間,4,低頻出・読解語・解説骨格語
前提,1,低頻出・読解語・解説骨格語
抽象的,3,低頻出・読解語・解説骨格語
就労定着支援,4,低頻出・読解語・解説骨格語
医療,65,高頻出
給付,43,高頻出
表情,39,高頻出
呼吸,38,高頻出
事業主,3,低頻出・読解語・解説骨格語
判定基準,3,低頻出・読解語・解説骨格語
構成員,3,低頻出・読解語・解説骨格語
説明書,3,低頻出・読解語・解説骨格語
認知,34,高頻出
受診,33,高頻出
身体的,15,中頻出
避難,27,高頻出
一般的,2,低頻出・読解語・解説骨格語
硬化,12,中頻出
若年性,12,中頻出
優先的,1,低頻出・読解語・解説骨格語
具体化,1,低頻出・読解語・解説骨格語
活発化,1,低頻出・読解語・解説骨格語
貢献度,1,低頻出・読解語・解説骨格語
重要性,1,低頻出・読解語・解説骨格語
関連性,1,低頻出・読解語・解説骨格語
共感的理解,3,低頻出・読解語・解説骨格語
要介護状態,3,低頻出・読解語・解説骨格語
経済的,11,中頻出
間接,1,低頻出・読解語・解説骨格語
便秘,24,高頻出
精神的,10,中頻出
速度,10,中頻出
乾燥,23,高頻出
右側,23,高頻出
神経,23,高頻出
衣服,22,高頻出
変形性,8,中頻出
慢性,8,中頻出
生理的,8,中頻出
気管,20,高頻出
態度,7,低頻出・読解語
失行,19,中頻出
不適切,2,低頻出・読解語・解説骨格語
家族構成,2,低頻出・読解語・解説骨格語
支援策,2,低頻出・読解語・解説骨格語
構成要素,2,低頻出・読解語・解説骨格語
評価基準,2,低頻出・読解語・解説骨格語
心身,18,中頻出
骨折,18,中頻出
一部分,1,低頻出・読解語・解説骨格語
不可能,1,低頻出・読解語・解説骨格語
事実確認,1,低頻出・読解語・解説骨格語
事業場,1,低頻出・読解語・解説骨格語
介護状態,1,低頻出・読解語・解説骨格語
優先順位,1,低頻出・読解語・解説骨格語
全体像,1,低頻出・読解語・解説骨格語
基準値,1,低頻出・読解語・解説骨格語
基準額,1,低頻出・読解語・解説骨格語
大部分,1,低頻出・読解語・解説骨格語
希望者,1,低頻出・読解語・解説骨格語
心理状態,1,低頻出・読解語・解説骨格語
支援金,1,低頻出・読解語・解説骨格語
社会貢献,1,低頻出・読解語・解説骨格語
精密検査,1,低頻出・読解語・解説骨格語
自己判断,1,低頻出・読解語・解説骨格語
調査員,1,低頻出・読解語・解説骨格語
資格取得,1,低頻出・読解語・解説骨格語
部活動,1,低頻出・読解語・解説骨格語
重要視,1,低頻出・読解語・解説骨格語
有料,17,中頻出
服薬,17,中頻出
発作,17,中頻出
購入,17,中頻出
溢流性,5,低頻出・読解語
自立度,5,低頻出・読解語
洗浄,16,中頻出
結腸,16,中頻出
一時的,4,低頻出・読解語
公的,4,低頻出・読解語
医学的,4,低頻出・読解語
匿名化,4,低頻出・読解語
危険性,4,低頻出・読解語
強度,4,低頻出・読解語
消極的,4,低頻出・読解語
湿度,4,低頻出・読解語
画一的,4,低頻出・読解語
耐性,4,低頻出・読解語
固定,15,中頻出
浴室,15,中頻出
血管,15,中頻出
上肢,14,中頻出
主治医,14,中頻出
体型,14,中頻出
装着,14,中頻出
見当識,14,中頻出
応ずる,25,高頻出
段差,13,中頻出
療養,13,中頻出
食材,13,中頻出
うつ状態,2,低頻出・読解語・解説骨格語
関連づける,1,低頻出・読解語・解説骨格語
交通事故,12,中頻出
創設,12,中頻出
失調,12,中頻出
換気,12,中頻出
着脱,12,中頻出
着衣,12,中頻出
視覚,12,中頻出
難聴,12,中頻出
頭部,12,中頻出
副菜,11,中頻出
専念,11,中頻出
廊下,11,中頻出
徘徊,11,中頻出
振戦,11,中頻出
正常,11,中頻出
睡眠時間,11,中頻出
配置,11,中頻出
鼻腔,11,中頻出
一部,10,中頻出
上司,10,中頻出
入所者,10,中頻出
収縮,10,中頻出
口調,10,中頻出
大腿,10,中頻出
相談員,10,中頻出
窓口,10,中頻出
精神,10,中頻出
緊張,10,中頻出
繊維,10,中頻出
覚醒,10,中頻出
酸素,10,中頻出
長期,10,中頻出
食道,10,中頻出
主任,9,中頻出
保健所,9,中頻出
反射,9,中頻出
味覚,9,中頻出
審査会,9,中頻出
寿命,9,中頻出
