単語,出現回数
デイサービス,48
リハビリテーション,47
チューブ,34
パーキンソン,21
タオル,20
ニーズ,16
サポート,15
ポータブル,14
パソコン,14
レビー,14
カニューレ,14
ステージ,13
コーヒー,12
マッサージ,11
ケアプラン,11
クッション,11
クラブ,11
ボランティア,10
リウマチ,10
アルコール,10
スーパー,10
リクライニング,10
パニック,10
プログラム,10
カテーテル,10
ノーマライゼーション,9
ビタミン,9
ストレス,9
プロセス,9
シーツ,9
ストーマ,9
レベル,9
メッセージ,9
レム,8
ユニット,8
タンス,8
ベルト,8
リフト,8
ナトリウム,8
ショートステイ,8
トラブル,8
サービス管理責任者,8
リスク,7
エピソード,7
コントロール,7
ボード,7
シャワー,7
マットレス,7
ランク,7
ミス,7
シート,7
ペット,7
エネルギー,6
インスリン,6
ショック,6
マット,6
スライディング,6
ケース,6
モデル,6
リハビリ,6
ブレーキ,6
スペクトラム,6
タイプ,6
サークル,6
チームメンバー,6
アルカリ性,5
レスパイトケア,5
リズム,5
ブラッシング,5
ブドウ,5
ブラシ,5
パウチ,5
サイド,5
ニィリエ,5
ガイド,5
イライラ,5
ストレッチャー,5
エレベーター,5
ゴミ,5
サポーター,4
クローン,4
ホーエン,4
ヤール,4
データ,4
ビニール,4
カーテン,4
インフォームドコンセント,4
モニタリング,4
メチシリン,4
マウス,4
メール,4
アドボカシー,4
アルバイト,4
ケアシステム,4
キューブラー,4
ロス,4
マズロー,4
医療センター,4
クーリング・オフ,4
キャスター,4
ガス,4
バンク,4
ミケルセン,4
アップ,4
アイス,4
スポンジ,4
スキューバダイビング,4
エンパワメント,4
エイド,4
メニュー,4
アテトーゼ,4
デイケア,4
メンバー,4
ペース,4
サイン,4
カルシウム,4
アプローチ,4
コンクール,4
ハローワーク,4
カフェ,4
フット,4
ホルモン,4
ジェノグラム,4
アルバム,4
グリーフケア,3
ピアカウンセリング,3
ウイルス,3
ケアカンファレンス,3
ボール,3
概日リズム,3
スティック,3
アメリカ,3
スロープ,3
サービス付き高齢者向け住宅,3
ゴロゴロ,3
スケール,3
アドバイス,3
カレー,3
カロリー,3
デイサー,3
ビス,3
ショー,3
トステイ,3
バイク,3
パーソナリティ,3
ライチャード,3
レストレスレッグス,3
エイジズム,3
ヴォルフェンスベルガー,3
マーク,3
ガスコンロ,3
ファーラー,3
ソーシャルワーカー,3
セルフ,3
ストレングス,3
ユニバーサルデザイン,3
チアノーゼ,3
リビングウィル,3
デスカンファレンス,3
ソーシャル,3
メイヤロフ,3
ルール,3
バック,3
アドバンス,3
プランニング,3
バイタル,3
ノンレム,3
リアリティ,3
オリエンテーション,3
マスク,3
インフォーマル,3
ライフ,3
ポット,3
コーピング,3
パラリンピック,3
マネジメント,3
ティッシュペーパー,3
チェック表,3
リスト,3
カフ,3
ジョハリの窓,2
ロコモティブシンドローム,2
エリクソン,2
リスクマネジメント,2
パスワード,2
ファスナー,2
ループ,2
ロフストランドクラッチ,2
カリウム,2
コレステロール,2
プライバシー,2
チェアー,2
トイレットペーパー,2
ダウン,2
バイステック,2
パート,2
ナショナルミニマム,2
リンパ管,2
タンパク質,2
ソーシャルインクルージョン,2
ストレスチェック制度,2
ストレスチェック,2
ガラス,2
サイズ,2
プリン,2
パンツ,2
フランクル,2
ダブルケア,2
コミュニティ,2
スコア,2
クロイツフェルト,2
ヤコブ,2
ロバーツ,2
プッシュ,2
カウンセリング,2
イルリガートル,2
エタノール,2
バーンアウト,2
ポイント,2
オストメイト,2
エプロン,2
ガーグルベースン,2
ドライシャンプー,2
ピンセット,2
クラッチ,2
パッド,2
タイミング,2
カーペット,2
バランス,2
バスタオル,2
トレー,2
ノロウイルス,2
ペースメーカー,2
コーディネーター,2
インシデント,2
エコマップ,2
フェイス,2
リッチモンド,2
ワーク,2
ロール,2
バロリゼーション,2
システム,2
ハンドリム,2
ナイロン,2
ガイドライン,2
筋ジストロフィー,2
フレイル,2
ビジョン,2
ミルトン,2
ダメ,2
プラン,2
ロボット,2
スケジュール,2
フォーマル,2
スマートフォン,2
アーム,2
ベッドメイキング,2
メラトニン,2
ツール,2
レビュー,2
バリデーション,2
ホワイトボード,2
バリアフリー,2
キャリアパス,2
ツアー,2
ゴルフ,2
サルコペニア,2
サポートカー,2
ドアノブ,2
テレビショッピング,2
コース,2
マニュアル,2
リーダー,2
フォロワーシップ,2
エイジング,2
カラオケ,2
ロッカー,2
プレゼント,2
ピクトグラム,2
デザイン,2
リビング,2
グリア,2
セクシュアリティ,2
ミーティング,2
メニエール,1
サンダル,1
エコノミークラス,1
コルセット,1
ストレッチング,1
電子メール,1
ヒヤリ,1
ハット,1
コード,1
バスマット,1
スライディングシート,1
ネット,1
シルバーカー,1
リフォーム,1
ストレッチ,1
サーカディアン,1
トリプトファン,1
緩和ケア,1
スクリーニング,1
インテーク,1
パブロフ,1
ミネラル,1
エラー,1
フリーラジカル,1
メタボリックシンドローム,1
ヒント,1
スタッフ,1
パルス,1
オキシメータ,1
アジア,1
メンタルヘルス,1
ブレインストーミング,1
ムヘルプサービス,1
カビ取り,1
ユニットケア,1
プライベート,1
コーナー,1
シチュー,1
レモンジュース,1
メカニズム,1
ウエスト,1
エンゲル係数,1
カシミヤ,1
マジック,1
セミファーラー,1
パブリックスペース,1
ドライブレコーダー,1
ガソリン,1
ガソリンスタンド,1
ライフサイクル,1
ノーマル,1
アパルトヘイト,1
キーワード,1
グリコーゲン,1
ミキサー,1
アタッチメント,1
ソロモン,1
ジョブコーチ,1
スタンダードプリコーション,1
ボトル,1
オペレーター,1
スムーズ,1
ボディ,1
タッチ,1
パートタイム,1
トイレット,1
パー,1
オーバー,1
プラットホーム,1
ギャッジ,1
ケリー,1
ナフタリン,1
パラジクロルベンゼン,1
シリカゲル,1
