単語,出現回数
訪問,264
総合,79
事例,74
移動,70
事業,70
共同,54
過程,46
法律,45
給付,43
会議,41
区分,34
含む,33
感情,28
交換,28
増加,27
分類,27
避難,27
作業,26
欲求,26
周囲,25
応ずる,25
個別,24
程度,23
対策,23
安定,22
業務,22
担当者,20
社会的,19
割合,18
検査,18
専門職,17
責任者,17
調査,17
国際,17
購入,17
尋ねる,16
離れる,16
慣れる,16
保管,16
洗浄,16
解消,15
因子,15
特性,15
固定,15
取得,15
解釈,15
平均,14
効果,14
困窮,13
組合せ,13
主体,13
集団,13
復帰,13
運営,12
自覚,12
創設,12
保存,12
換気,12
移行,12
配置,11
経済的,11
有効,11
訴え,11
専念,11
構成,11
目立つ,11
生ずる,11
直前,10
速度,10
災害,10
長期,10
多機能,10
要望,10
訪れる,10
共生,10
精神,10
統合,10
成年,10
遂行,10
資源,10
内部,10
良好,9
占める,9
傾向,9
基準,9
審査会,9
差別,9
機関,9
プロセス,9
特定,9
養成,9
接する,9
順番,9
集中,9
若年者,9
終了,9
順調,9
排出,9
レベル,9
適する,9
支給,8
具体的,8
基礎,8
時期,8
中途,8
用語,8
疎通,8
獲得,8
更新,8
密着,8
着用,8
伝達,8
先端,8
残存,8
拒否,8
悪化,8
国民,8
許可,8
慢性,8
混乱,8
従う,8
期間,8
客観的,8
対象外,8
研修,8
交付,8
基幹,8
一定,7
開示,7
補助,7
構築,7
限る,7
任意,7
