単語,出現回数
事例,74
現在,68
目的,54
共同,54
原因,52
自己,46
過程,46
法律,45
治療,43
会議,41
続ける,37
区分,34
含む,33
回復,33
技術,32
可能,29
繰り返す,29
最初,29
感情,28
交換,28
取り組む,28
増加,27
分類,27
作業,26
欲求,26
基本,25
個人,25
周囲,25
応ずる,25
個別,24
以前,24
程度,23
対策,23
以外,23
保持,23
用意,23
安定,22
関わる,22
業務,22
開始,21
社会的,19
取得,15
解釈,15
平均,14
効果,14
紹介,14
整理,14
困窮,13
感染,13
経験,13
主体,13
集団,13
復帰,13
運営,12
深い,12
出来事,12
自覚,12
性格,12
気づく,12
保存,12
以下,12
移行,12
雇用,11
有効,11
種類,11
訴え,11
構成,11
目立つ,11
生ずる,11
以降,10
要望,10
訪れる,10
共生,10
統合,10
遂行,10
資源,10
占める,9
傾向,9
基準,9
差別,9
機関,9
親族,9
年齢,9
学習,9
特定,9
接する,9
順番,9
世話,9
異常,9
終了,9
委員会,9
近隣,9
診察,9
未満,9
適する,9
具体的,8
基礎,8
時期,8
用語,8
獲得,8
更新,8
伝達,8
拒否,8
悪化,8
従う,8
期間,8
客観的,8
成人,8
研修,8
自ら,7
抱える,7
修正,7
対象者,7
表示,7
詳しい,7
価値,7
互い,7
新た,7
普段,7
発生,7
不足,7
研究,7
試験,7
全て,7
話題,6
禁止,6
要する,6
抑える,6
否定,6
現実,6
努力,6
効果的,6
