単語,出現回数
乾燥,23
改修,8
乏しい,6
消極的,4
形態,4
預かる,4
先行,4
緩やか,4
完全,4
仕組み,4
事情,4
多様,4
切迫,4
標準,4
励む,4
利益,4
補う,4
立場,4
返答,4
要約,4
満足,4
種別,3
水準,3
算出,3
雰囲気,3
比較,3
専門的,3
明瞭,3
途切れる,3
思想,3








着目,3
想定,3
困惑,3
解除,3
被害,3
述べる,3
設ける,3
再開,3
衝突,3
増進,3
拡大,3
転換,3
志向,3
普及,3
統計,3
整頓,3
要求,3
交互,3
速やか,3
相当,3
通過,3
書面,3
不明,3
掲げる,3
丁寧,3
付き合い,3
真面目,3
抽象的,3
おおむね,3
捉える,3
崩す,3











縮小,3
信用,3
特別,3
逆転,3
局在,3
当初,3
概念,1
方策,1
築く,1
以後,1
長寿,1
適度,1
侵襲,1
数値,1
分布,1
治癒,1
蓄積,1
振る舞う,1
補償,1
逃避,1
反発,1
協調,1
実感,1
調和,1
乱す,1
完結,1
満たす,1
実際,1
整合性,1























方式,1
起因,1
合理化,1
無関心,1
有意義,1
通勤,1
実費,1
財政,1
内訳,1
加盟,1
照会,1
限界,1
概要,1
反論,1
合意,1
承諾,1
直面,1
簡潔,1
携わる,1
欠如,1
起源,1
成立,1
発展,1
相違,1
一致,1
類似,1
同様,1
密接,1
契機,1
誘因,1
手法,2




















要件,3
制約,1
配分,1
分担,1
役目,1
性質,1
特質,1
典型的,1
顕著,2
深刻,1
重大,1
容易,1
不可能,1
現実的,1
理想,1
妥当,1
適正,1
しばしば,1
常時,1
一旦,1
あらかじめ,2
ただちに,1
なるべく,1
できる限り,1
極めて,2
およそ,1











連帯,1
不調,1
拒絶,2
拒む,1
否定的,1
扱う,1
取り扱う,1
加わる,1
引き起こす,2
来す,1
置き換える,1
取り戻す,4
引き離す,1
遠ざける,1
妨げる,1
削減,1
増額,1
負う,1
有する,1
保有,1
持続,2
中断,2
適宜,1
迅速,1
用いる,1
参考,1





連帯,1,社会,れんたい,solidarity,心を合わせて一緒に助け合うこと。,地域の仲間と連帯して生活を支えます。
不調,1,医療,ふちょう,disorder,体の具合や機械の調子が悪いこと。,利用者の体の不調を早く見つけます。
拒絶,2,基本,きょぜつ,rejection,相手のお願いや意見を強く断ること。,利用者が薬を飲むことを拒絶します。
拒む,1,基本,こばむ,refuse,相手の言うことを聞かないで断ること。,利用者がお風呂に入るのを拒みます。
否定的,1,基本,ひていてき,negative,そうではないと考えて賛成しないこと。,利用者が自分の病気に否定的な考えを持ちます。
扱う,1,基本,あつかう,handle,道具を使ったり人の世話をしたりすること。,車いすを丁寧に扱います。
取り扱う,1,基本,とりあつかう,manage,物を使ったり仕事として行ったりすること。,利用者の大切な情報を気をつけて取り扱います。
加わる,1,基本,くわわる,join,仲間に入ったり数が増えたりすること。,新しい人が介護のチームに加わります。
引き起こす,2,基本,ひきおこす,cause,事故や病気などの新しい問題を起こすこと。,つまずいて転倒の事故を引き起こします。
来す,1,基本,きたす,cause,悪い状態や結果になること。,睡眠が足りないと生活に支障を来します。
置き換える,1,基本,おきかえる,replace,今あるものを別のものに変えること。,難しい言葉を簡単な言葉に置き換えて話します。
取り戻す,4,基本,とりもどす,regain,なくなったものをもう一度自分のものにすること。,リハビリをして歩く力を取り戻します。
引き離す,1,基本,ひきはなす,separate,くっついているものを無理に離すこと。,喧嘩をしている二人を引き離します。
遠ざける,1,基本,とおざける,distance,近くにあるものを遠くへやること。,危ないものを利用者から遠ざけます。
妨げる,1,基本,さまたげる,hinder,相手がしたいことを邪魔してできないようにすること。,利用者の眠りを妨げないように静かに歩きます。
削減,1,社会,さくげん,reduction,お金や時間などを減らすこと。,施設で使うお金を削減します。
増額,1,社会,ぞうがく,increase,お金の量を増やすこと。,介護のサービスに使うお金が増額されます。
負う,1,基本,おう,bear,責任を持ったりけがをしたりすること。,転んで足に大きなけがを負います。
有する,1,基本,ゆうする,possess,資格や権利などを持っていること。,介護の資格を有する人が働きます。
保有,1,社会,ほゆう,possession,自分のものとして持っていること。,利用者が保有しているお金を確認します。
持続,2,基本,じぞく,continuation,同じ状態がずっと続くこと。,リハビリの効果が長く持続します。
中断,2,基本,ちゅうだん,interruption,途中でやめて休むこと。,利用者が疲れたので運動を中断します。
適宜,1,基本,てきぎ,appropriately,そのときや状況にちょうどよく合わせること。,利用者の様子を見て適宜に休憩を入れます。
迅速,1,基本,じんそく,quick,とても早くて時間がかからないこと。,事故が起きたら迅速に報告します。
参考,1,基本,さんこう,reference,何かを考えるときに他の人の意見や本を見ること。,他の施設のやり方を参考にして計画を立てます。



