単語,出現回数
憤り,0
対立,2
調理,36
受診,33
趣味,33
避難,27
拭く,25
体操,20
服薬,17
洗浄,16
しばらく,15
だいたい,15
装着,14
物忘れ,13
夫婦,13
段差,13
創設,12
換気,12
そのまま,12
着脱,12
専念,11
敷く,11
速度,10
たびたび,10
窓口,10
上司,10
養成,9
未婚,9










若年者,9
中途,8
こだわり,8
密着,8
着用,8
配膳,8
対象外,8
浅い,8
交付,8
基幹,8
脱水,7
初対面,6
仲間,6
筆談,6
透明,6
沈黙,6
公費,6
不自由,6
家賃,6
設備,6
縦,6
容器,6
更衣,6
変換,6
支払い,6
断る,6
居住,6
流れる,6
優先度,6
擁護,6
畳,6



















加熱,6
不満,6
抱く,6
初回,6
塗る,6
激しい,6
支払う,6
覚める,6
硬い,6
奥,6
職業,5
予定,5
通帳,5
出血,5
日光,5
代謝,5
副作用,5
遠方,5
類型,5
互助,5
保障,5
貯金,5
収納,5
反省,5
愛情,5
候補者,5
退職,5
防災,5
派遣,5
傾ける,5










後日,5
便意,5
前傾,5
傾聴,5
自立度,5
取っ手,5
軽快,5
患者,5
物品,5
個室,5
監視,5
終日,5
翌日,5
母子,5
今まで,5
更生,5
余命,5
現場,5
免許,5
消極的,4
常勤,4
形態,4
額,4
預かる,4
保険者,4
事務,4
委託,4
扶助,4
掛ける,4
先行,4
事情,4
多様,4
送迎,4
切迫,4
簡易,4
寄せる,4
消費,4
標準,4
励む,4
主張,4
上回る,4
利益,4
道具,4
補う,4
危険性,4
承認,4
注意点,4
通学,4
湿度,4
寝具,4
持病,4
暮らせる,4
乾く,4
加える,4
素早い,4
少量,4
閉じこもる,4
不在,4
無視,4
休息,4
思い込む,4
分野,4
公的,4
収益,4
それぞれ,4
随時,4
選択肢,4
亡くす,4
失語,4
着ける,4
絞る,4
休職,4
延命,4
平等,4
散乱,4
取り戻す,4
育成,4
団体,4
返答,4
改革,4
転居,4
同僚,4
主に,4
当事者,4
定着,4
要約,4
満足,4
発信,4
住居,4
種別,3
水準,3
加入,3
登録,3
所持,3
消化,3
算出,3
漏れる,3
意図的,3
流動性,3
投影,3
退行,3
毎食,3
雰囲気,3
比較,3
目印,3
専門的,3
中核,3
講座,3
明瞭,3
にぎやか,3
途切れる,3
限度,3
提出,3
あり方,3
文化,3
伸展,3
疲労,3
上限,3
要件,3
感想,3
廃用,3
成果,3
おおむね,3
捉える,3
生活史,3
秘密,3
同調,3
審査,3
出席,3
資料,3
頑固,3
変わり,3
崩す,3
縮小,3
取り引き,3
対処,3
人間的,3
着目,3
遅れ,3
流れ,3
反映,3
想定,3
困惑,3
解除,3
被害,3
述べる,3
設ける,3
常温,3
素材,3
再開,3
時間帯,3
熱心,3
衝突,3
事由,3
給付金,3
代金,3
戸惑う,3
発話,3
双方向,3
生存,3
構成員,3
禁ずる,3
教育,3
人材,3
責務,3
選定,3
仕方,3
大半,3
民間,3
報酬,3
病状,3
耐える,3
戻れる,3
問いかけ,3
抽象的,3
入手,3
境目,3
暮らし,3
治まる,3
交える,3
責任感,3
真面目,3
思考力,3
距離,3
統計,3
要求,3
日常的,3
指す,3
最終的,3
交互,3
速やか,3
相当,3
受け取る,3
早期,3
習慣,3
通過,3
書面,3
当初,3
不明,3
掲げる,3
弱まる,3
丁寧,3
都合,3
衰え,3
死因,3
深める,3
寄り添う,3
不良,3
受給,3
面談,3
提言,3
申し出,3
拡大,3
志向,3
普及,3
届く,3
完成,3
済む,3
不当,2
情報共有,2
所有,2
支援策,2
役立つ,2
活性化,2
書類,2
生殖,2
短縮,2
知的,2
講師,2
務める,2
訂正,2
引き起こす,2
誤認,2
面接,2
疲れ,2
辞める,2
創造,2
名誉,2
気軽,2
娯楽,2
禁止行為,2
代替,2
注目,2
追及,2
無理,2
光源,2
専用,2
好み,2
支出,2
右利き,2
明確化,2
焦点,2
目標設定,2
不適切,2
増す,2
次回,2
支え合い,2
幸福,2
無職,2
加入者,2
適応機制,2
反動,2
昇華,2
支給申請,2
従事,2
長期間,2
退職時,2
撮影,2
消火,2
休暇,2
就学,2
軽微,2
誘発,2
処置,2
違い,2
ありのまま,2
集約,2
評価基準,2
定時,2
仮眠,2
経済的負担,2
購入費,2
告げる,2
撤廃,2
一方的,2
無意識,2
発散,2
嫌悪,2
過剰,2
対話,2
社会化,2
活躍,2
重点,2
改めて,2
設立,2
公表,2
指針,2
好む,2
意識的,2
厳しい,2
全般的,2
段階的,2
最善,2
見捨てる,2
合併,2
現時点,2
予防策,2
深さ,2
構成要素,2
同一,2
職務,2
共用,2
改める,2
肯定,2
個々,2
不振,2
向き合う,2
突然,2
押さえる,2
相互扶助,2
無料,2
予算,2
努力義務,2
芸術,2
事件,2
概況,2
最高,2
文化的,2
無効,2
介入,2
無断,2
願望,2
不十分,2
抽出,2
意欲的,2
参照,2
効率,2
納得,2
確立,2
迷う,2
手助け,2
果たす,2
依存症,2
賞賛,2
申し訳,2
挑戦,2
長所,2
当面,2
緊急,2
採用,2
変容,2
生涯,2
一員,2
家計,2
両者,2
最終,2
順序,2
身近,2
積み重ねる,2
持続,2
中断,2
極めて,2
さまざま,2
拒絶,2
高ぶる,2
最大,2
急ぐ,2
手法,2
道路,2
頼る,2
深夜,2
最低限度,2
人員,2
取り巻く,2
上位,2
拡充,2
基盤,2
具合,2
近年,2
周知,2
徹底,2
文書,2
大量,2
良質,2
効率的,2
資金,2
語彙,2
付着,2
主導,2
順応,2
全面的,2
様々,2
外部,2
包摂,2
読み上げる,2
障壁,2
資質,2
訪室,2
同席,2
役割分担,2
交代,2
休憩,2
顕著,2
労務管理,2
経営,2
計画的,2
年々,2
守秘,2
生活様式,2
一般的,2
単純,2
組立て,2
不備,2
遵守,2
頼れる,2
恐怖,2
情動,2
後輩,2
快適,2
請求,2
次々,2
浸透,2
いかが,2
公共,2
言語的,2
お願い,2
視覚的,2
傾き,2
気遣い,1
拒む,1
方策,1
強制的,1
築く,1
以後,1
長寿,1
延ばす,1
適度,1
数値,1
分布,1
治癒,1
蓄積,1
振る舞う,1
補償,1
逃避,1
無関心,1
協調,1
実感,1
側面,1
一声,1
概念,1
調和,1
乱す,1
定員数,1
完結,1
手引き,1
永続,1
満たす,1
実際,1
短期間,1
退席,1
動線,1
直面,1
表面化,1
具体化,1
文章,1
確かめる,1
言い換える,1
了解,1
解決策,1
現実的,1
安全性,1
当然,1
格差,1
待遇,1
内訳,1
振興,1
法令遵守,1
義務づけ,1
有する,1
講じる,1
不利益,1
未然,1
通知,1
参考,1
苦労,1
見通せる,1
集う,1
ふさわしい,1
配分,1
余裕,1
見通し,1
利用状況,1
貢献度,1
作業量,1
任す,1
妨げる,1
優先順位,1
緊急性,1
自体,1
変更内容,1
携わる,1
合意,1
経験則,1
一致,1
言い換え,1
繰り返し,1
不正確,1
予想,1
無関係,1
生きがい,1
有意義,1
創る,1
勧告,1
作戦,1
一切,1
第三者,1
公平性,1
標準化,1
自己判断,1
合理化,1
認証,1
相談先,1
見送る,1
滞納,1
契約内容,1
独自,1
基本情報,1
効率化,1
全体像,1
長期化,1
妥当,1
典型的,1
契機,1
容易,1
不可能,1
重大,1
選択的,2
